SAMPLE_NAME,L,a,b
A1,85.57404193647996,1.9190985122112814,-1.2243832426578782
A2,92.07369565485783,3.53821630522122,2.2357671994692074
A3,89.83891550788358,1.396724878389266,-5.326539002148056
A4,92.07603038059281,-2.455881123496706,-0.3329319418312826
A5,91.60084358183936,4.133842053106019,2.4670389022858563
A6,90.63699705037115,0.36980656383933663,-2.0894258562971224
A7,94.12252956376395,0.2799249903227552,2.6451452373849715
A8,91.94057193704113,3.655318903890814,-2.002860892908198
A9,92.06578864981898,-1.9458065110798395,-4.567239949939328
B1,78.59790278414239,2.8279279927028167,-0.5249453982373309
B2,89.27213061130037,7.09625746106568,5.897269839911834
B3,84.74507470562042,2.236493295868225,-8.855566648569347
B4,88.66051019171046,-4.289082248596532,0.32966297444230186
B5,88.41062696206714,7.616160186255938,6.256586282080212
B6,86.53476827047405,0.8870628774891864,-2.176758344838059
B7,92.85411665156536,0.33458615746395637,6.407823904220833
B8,88.99896045694979,6.687802633985052,-1.8576541480166409
B9,89.32809404368581,-3.739696831891459,-7.474195950769746
C1,66.36574359717855,4.159183889053619,-0.8133792930300698
C2,85.59456720937835,12.176240924759385,13.094289884340139
C3,76.31836996835736,3.5962031084921797,-14.700606101210646
C4,83.59908132052075,-8.494074719472556,2.609141157956829
C5,83.8544016919412,15.007331564248439,13.100043554970032
C6,80.4404562216456,0.606237403267651,-2.705661233618528
C7,91.8992024457407,1.131735857066496,14.241903728890716
C8,85.01185683306771,13.495341448934884,-2.0059461295796055
C9,84.51690074856796,-7.367168056038653,-12.8391967332671
D1,55.397472613760726,4.708928097895749,0.14494275429537407
D2,82.4685750630201,18.40973359964582,19.053036868815653
D3,69.26966767357764,4.888920618435099,-20.021190060077455
D4,79.12095025478598,-12.759579980314406,3.878226254741679
D5,80.47632858464965,20.873327558053212,18.370116698874117
D6,73.5535136107856,1.2786773255901163,-3.099368817732384
D7,91.60098300039026,1.4537849378222778,22.02389097087305
D8,80.70820219899146,19.375441605984754,-1.7219079906580559
D9,80.65668356491355,-12.020433684504283,-18.60654554924932
E1,44.36940746135832,5.5098014178593395,0.4239438846976862
E2,79.374503966948,23.499748044523926,25.078272565727477
E3,61.753876729138,5.371135947465245,-25.258073165545646
E4,74.54723347496629,-17.39589265282121,5.68934985013414
E5,75.86971866433377,28.1808426938317,24.979184186522296
E6,67.13123608388943,1.4740630414569744,-3.652223228510021
E7,91.25827121909848,1.5381914423778231,28.66280279475253
E8,76.9270879205534,26.27090431776824,-1.5724121304745653
E9,76.22193061391823,-15.593431324874896,-23.3716902789441
F1,36.40256893902462,5.938115804064226,0.8361126453324874
F2,74.85687187197804,31.183392308314296,32.63597591753662
F3,52.24012671811917,6.414362171703159,-32.889751491995575
F4,70.55067633492952,-22.71379003295132,7.880900097630494
F5,72.33498274818983,34.80504035657028,31.110089078506252
F6,60.720038641123026,1.7423202022917028,-3.8762550914341
F7,90.48511039840706,2.2917473983384284,37.59550674691143
F8,73.12165776896163,32.61795316245608,-0.9822537568433987
F9,71.66448732192309,-19.256811026386433,-28.31666801134829
G1,26.73224064979417,5.243168652697111,1.2224935820922211
G2,72.35332665687973,35.31494745592667,36.9331343703609
G3,48.78226162196452,6.740932410788991,-33.33049304157561
G4,66.69190405191127,-28.14487262841453,9.806096177730472
G5,68.65540006925407,40.785015712260616,36.51046909543349
G6,53.92234709842013,1.3753016788112804,-3.4517800478112814
G7,90.66279963777136,2.2749227012148765,45.57038544246299
G8,69.91396455348627,38.755271080373745,-0.6569228297849561
G9,67.92177130855455,-22.390622875399945,-31.791222810632934
H1,20.204163680969565,5.529914017330883,2.7831881793192736
H2,68.776556651198,41.50315483785144,44.50836958517974
H3,37.02470275256243,6.1889132880701965,-43.561044205785436
H4,62.7528986020107,-32.61032811073339,10.193253241445376
H5,65.11072978771915,47.91067193857018,43.2335980512103
H6,46.83202406003246,2.302925276164991,-3.494323575384195
H7,90.52155857895623,2.4454776571152803,55.94363632706268
H8,65.49159875112821,45.72591132421272,0.546398439504503
H9,62.90628961863965,-27.7992518951522,-36.90428695240762
I1,13.664592928425503,1.7267016920628486,-0.019443609276759144
I2,65.54446960932039,47.58396297136569,52.534215855904044
I3,34.48228524734944,6.11998164671343,-42.24587044229975
I4,59.239041607497825,-37.61439731222116,11.884340652599823
I5,60.54147636630748,55.71739632463585,52.984221355740445
I6,39.868050998109844,2.5898989987849506,-3.703357206589286
I7,90.46329732305206,2.8426309338379085,67.76020823128329
I8,62.12930996019496,52.14442645558459,1.718206134509348
I9,58.10951085957912,-32.358174513996914,-41.08489851598583
J1,10.79186547037924,0.46388161443691733,-1.55092511129859
J2,61.66443453660216,53.517391282225105,57.17103979971338
J3,25.478269630343867,6.768029490204247,-48.903088178416375
J4,52.08816873609004,-46.775754394838444,16.39205980752223
J5,56.60653683665211,60.53673316708619,52.63189832102253
J6,30.415703330105984,2.8043203952005378,-3.9402116731345638
J7,90.72728726249079,2.316681041388824,77.18624290928322
J8,58.80967796440041,55.087015133458706,3.2525508007266835
J9,54.576867813132054,-34.18365430221942,-43.321494329771525
K1,11.304522644140807,0.4678717669938659,-1.5677346627854583
K2,58.8290406165648,58.16634752235822,55.92376627862888
